job_title,company_name,job_location,salary_range,job_posted,description,Ratings
"Group Product Manager, Patient Experience",Ro,"Remote in New York, NY","$85,000 - $167,300 ","
 30+ days ago","Excellent product judgment: Ability to prioritize competing opportunities, balance stakeholder needs with business priorities, and drive detailed trade-offs…",3.6
Product Manager,Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Proven track record managing large, complex features or products with multiple partners.
Supporting product teams by providing input on the development of…",4.1
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$115,000 - $140,000 ","
 13 days ago","We’re looking for a Technical Product Manager with fintech experience to work closely with all teams across Starship (including banking, design, sales and…",3.6
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$140,000 - $190,000 ","
 30+ days ago","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",4.1
"Product Manager, IAB - Wayne, NJ",Getinge,"Wayne, NJ 07470","$100,000 - $150,000 ","
 17 days ago","Implement product portfolio strategies and program prioritization.
3 – 5 years previous medical device product management experience.",3.4
Senior Product Manager I - Remote,Michael Kors,"Remote in Madison, NJ","$149,000 ","
 2 days ago","Serve as a thought leader for your product area, leveraging your curiosity, user and market research along with data analysis skills to chart a profitable path…",3.7
"Product Manager, Content",Uber,"New York, NY","$50,000 - $60,000 ","
 30+ days ago","Translate requirements and specifications for new features into user stories, partner with UX to influence design decisions, collaborate with engineering and…",3.5
"Product Manager, Communications Platform",Spotify,"New York, NY 10007 
(Financial District area)",0,"
 9 days ago","Monitor and measure launched products and use data for product refinement.
Technical skills - Ability to inform and evaluate engineering decisions across…",4.3
Associate Product Manager,0,"Remote in New York, NY",0,"
 5 days ago","Collaborating with cross-functional teams (engineering, operations, sales, customer support) to ensure timely delivery of products and services that meet…",0
"Group Product Manager, Self, Serve AdTech",0,"Remote in New York, NY",0,"
 11 days ago","You have experience hiring, coaching and leading a diverse and impactful team of product managers, including senior product managers.",0
Director - Product Manager - New Operating Model Implementation (Hybrid),Citi,"New York, NY","$225,000 - $300,000 ","
 30+ days ago",The successful candidate for this role will be an SME with practitioner experience launching large scale programs with best practices of product strategy and…,3.9
Debit Card Product Manager - Hybrid,Citi,"New York, NY","$125,540 - $188,310 ","
 30+ days ago","Assist Debit Card product team with delivering on initiatives that focus on increasing debit card engagement and usage.
4-7 years of relevant experience.",3.9
VP - ICM Product Manager,Citi,"New York, NY","$125,540 - $188,310 ","
 30+ days ago","Degree in finance, economics, accounting, or other quantitative or project/product management disciplines.
You will act as a product owner, responsible for the…",3.9
Product Management,BCG Digital Ventures,"New York, NY","$180,000 - $200,000 ","
 30+ days ago","BA/BS degree or equivalent work experience in product management.
Monitor and report on product KPIs.
Our product managers have the mindset to build.",3.8
"Director, Product Management, Private Markets - Strategic Initiatives",S&P Global,"New York, NY 10004 
(Financial District area)","$134,400 - $216,000 ","
 13 days ago",8-12 years of total experience; at least 4 years of experience specifically in product ownership or technical product management roles working alongside…,3.9
Product Owner – Markets Transformation – Auction and Trading,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$112,000 - $208,000 ","
 30+ days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
Group Product Manager - Consumer Experience,Uber,"New York, NY 10007 
(Financial District area)","$150,000 - $180,000 ","
 4 days ago","Product Sense - Stellar design instincts and product taste.
Experience delivering highly successful and creative user-facing products.
You own what you build.",3.5
Associate Technical Product Manager,Sirius XM,"Remote in New York, NY 10019","$120,000 - $135,000 ","
 30+ days ago",This role will assist in the management of a variety of projects related to our automotive entertainment platforms.,3.6
Product Owner,Warner Bros. Discovery,"New York, NY","$75,020 - $126,250 ","
 4 days ago","At least 2+ years of product experience.
Maintain and prioritize product roadmap, identify dependencies, articulate requirements, and plan future releases with…",4.0
Sr Product Manager,US Mobile,"New York, NY 10010 
(Flatiron area)","$90,000 - $165,000 ","
 30+ days ago","5+ years product management experience with a focus on back-end services and/or internal tools.
Set, articulate, and advocate product vision and strategy.",3.6
Technical Product Manager,Sony Electronics,"New York, NY","$120,679 - $181,018 ","
 26 days ago","A bachelor's degree in business, product management, or a relevant technical field.
Experience with vendor management platforms.",4.1
"Manager, Digital Product Management","Perficient, Inc","New York, NY 10010 
(NoMad area)","$129,500 - $213,800 ","
 5 days ago","Liaison directly with senior management to communicate project objectives and status on a bi-weekly basis, including any project issues/blockers.",3.4
Product Owner,DTCC,"New York, NY 10007 
(Financial District area)",0,"
 12 days ago","The ideal candidate will have a complimentary blend of business skills (e.g. financial services, wealth management, annuities, alternative investments) and…",3.7
Product Management Director,Northwell Health,"Hybrid remote in Jersey City, NJ 07310",0,"
 30+ days ago","The Product Management, Director is product champion and subject matter expert that is responsible for representing the 'voice' of the industry and clients to…",3.9
Lead Product Services & Management Analyst,Amex,"Lake Success, NY 11020",0,"
 30+ days ago","Leads and oversees implementation and supporting application system.
Researches, studies, and analyzes system-related issues and provides appropriate resolution…",4.1
Manager-Digital Product Solution Design,FreeWheel,"New York, NY",0,"
 10 days ago","3+ years of product owner experience in driving agile development processes to deliver new product asks.
The Enterprise Data Platforms (EDP) organization is…",3.8
Product Manager,Memorial Sloan Kettering Cancer Center,"New York, NY 10018 
(Clinton area)",0,"
 19 days ago","Responsible for product management activities for the portfolio of reporting products.
Align with each product verticals to support their business needs with…",4.1
Senior Product Manager | Digital Solutions,0,"Hybrid remote in New York, NY 10017",0,"
 8 days ago",7+ years of digital product management experience; creating strategic product roadmaps and working with cross-functional teams.,0
"Senior Director, Product Management - Remote",DICK'S Sporting Goods,"Remote in Madison, NJ","$150,000 - $250,000 ","
 30+ days ago","15+ years of experience in product management, go-to-market, and product strategy.
Rotate through a series of projects in Product to articulate leverage in the…",3.4
Senior Product Manager-GC,American Museum of Natural History,"Remote in New York, NY","$150,000 - $200,000 ","
 3 days ago","Four or more years experience in managing technology products, with a focus on mobile or consumer products.
GameChanger is a product-driven business where your…",4.2
"VP, Product Management",Getinge,"Remote in New York, NY","$190,000 - $225,000 ","
 26 days ago","10+ years of experience in product management, with a proven record of accomplishment in delivering successful products.
HIPAA, Meaningful Use, HITECH, etc.",3.4
Sr. Manager Project and Product Management,ACLU,"New York, NY 10024 
(Upper West Side area)","From $140,000 ","
 6 days ago","Thorough understanding of project management methodologies including Agile and Waterfall.
The Senior Manager of Project and Product Management will be…",4.3
Product Management Associate,ACLU,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.3
